"var_yr","var_scope","var_grade","var_key","var_schoolType","var_ethnic","population","var_type","metrics_new"
2021,"usa","col","t3_confer","allSchools","asian","1154","count","usa___2021___col___t3_confer___allSchools___asian"
2021,"college","col","t3_mit_total_enrol","allSchools","all","4156","count","college___2021___col___t3_mit_total_enrol___allSchools___all"
2021,"college","col","t3_mit_total_enrol","allSchools","black_hispanic","1038","count","college___2021___col___t3_mit_total_enrol___allSchools___black_hispanic"
2021,"college","col","t3_mit_total_enrol","allSchools","white_asian","3118","count","college___2021___col___t3_mit_total_enrol___allSchools___white_asian"
2021,"college","col","t3_mit_total_enrol","allSchools","black","336","count","college___2021___col___t3_mit_total_enrol___allSchools___black"
2021,"college","col","t3_mit_total_enrol","allSchools","hispanic","702","count","college___2021___col___t3_mit_total_enrol___allSchools___hispanic"
2021,"college","col","t3_mit_total_enrol","allSchools","white","1582","count","college___2021___col___t3_mit_total_enrol___allSchools___white"
2021,"college","col","t3_mit_total_enrol","allSchools","asian","1536","count","college___2021___col___t3_mit_total_enrol___allSchools___asian"
2021,"college","col","t3_mellon_total_enrol","allSchools","all","4814","count","college___2021___col___t3_mellon_total_enrol___allSchools___all"
2021,"college","col","t3_mellon_total_enrol","allSchools","black_hispanic","866","count","college___2021___col___t3_mellon_total_enrol___allSchools___black_hispanic"
2021,"college","col","t3_mellon_total_enrol","allSchools","white_asian","3948","count","college___2021___col___t3_mellon_total_enrol___allSchools___white_asian"
2021,"college","col","t3_mellon_total_enrol","allSchools","black","255","count","college___2021___col___t3_mellon_total_enrol___allSchools___black"
2021,"college","col","t3_mellon_total_enrol","allSchools","hispanic","611","count","college___2021___col___t3_mellon_total_enrol___allSchools___hispanic"
2021,"college","col","t3_mellon_total_enrol","allSchools","white","1661","count","college___2021___col___t3_mellon_total_enrol___allSchools___white"
2021,"college","col","t3_mellon_total_enrol","allSchools","asian","2287","count","college___2021___col___t3_mellon_total_enrol___allSchools___asian"
2021,"city_chi","k8_8th","math_prof","cps","all","5064","count","city_chi___2021___k8_8th___math_prof___cps___all"
2021,"city_chi","k8_8th","math_prof","cps","black_hispanic","3844","count","city_chi___2021___k8_8th___math_prof___cps___black_hispanic"
2021,"city_chi","k8_8th","math_prof","cps","white_asian","1220","count","city_chi___2021___k8_8th___math_prof___cps___white_asian"
2021,"city_chi","k8_8th","math_prof","cps","black","1219","count","city_chi___2021___k8_8th___math_prof___cps___black"
2021,"city_chi","k8_8th","math_prof","cps","hispanic","2625","count","city_chi___2021___k8_8th___math_prof___cps___hispanic"
2021,"city_chi","k8_8th","math_prof","cps","white","872","count","city_chi___2021___k8_8th___math_prof___cps___white"
2021,"city_chi","k8_8th","math_prof","cps","asian","348","count","city_chi___2021___k8_8th___math_prof___cps___asian"
2021,"city_chi","hs","sat_bench","cps","all","5081","count","city_chi___2021___hs___sat_bench___cps___all"
2021,"city_chi","hs","sat_bench","cps","black_hispanic","3058","count","city_chi___2021___hs___sat_bench___cps___black_hispanic"
2021,"city_chi","hs","sat_bench","cps","white_asian","2023","count","city_chi___2021___hs___sat_bench___cps___white_asian"
